fecha_desaparicion;fecha_denuncia;fecha_conocimiento;zona;distrito;circuito;subcircuito;codigo_provincia;provincia;codigo_canton;canton;dias_solucion;latitud_desaparicion;longitud_desaparicion;sexo;nacionalidad;edad;rango_edad;etnia;fecha_localizacion;latitud_localizacion;longitud_localizacion;provincia_localizacion;situacion_actual;motivo_desaparicion;motivacion_desaparicion_observada;estado_desaparecido
25/9/2025;26/9/2025;26/9/2025;ZONA 9;CALDERÓN;LOS LLANOS;LOS LLANOS 2;17;PICHINCHA;1701;QUITO;86400;-0,116454;-78,437145;MUJER;ECUADOR;24;ADULTO;MESTIZO/A;26/9/2025;-0,117628;-78,441308;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
25/9/2025;26/9/2025;26/9/2025;ZONA 9;CALDERÓN;LOS LLANOS;LOS LLANOS 2;17;PICHINCHA;1701;QUITO;1555200;-0,116368;-78,437284;HOMBRE;ECUADOR;15;ADOLESCENTES;MESTIZO/A;13/10/2025;-0,141819;-78,499841;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
25/9/2025;26/9/2025;26/9/2025;ZONA 9;QUITUMBE;GUAMANÍ;GUAMANÍ 4;17;PICHINCHA;1701;QUITO;259200;-0,349459;-78,555914;HOMBRE;ECUADOR;23;ADULTO;MESTIZO/A;28/9/2025;-0,142294;-78,499885;PICHINCHA;ENCONTRADO;EXTRAVIADO - DISCAPACIDAD / ENFERMEDADES / TRASTORNOS;DISCAPACIDAD INTELECTUAL;EXTRAVÍO
25/9/2025;26/9/2025;26/9/2025;ZONA 9;EUGENIO ESPEJO;COCHAPAMBA;COCHAPAMBA 3;17;PICHINCHA;1701;QUITO;86400;-0,141125;-78,506829;HOMBRE;ECUADOR;26;ADULTO;MESTIZO/A;26/9/2025;-0,16554;-78,475683;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
25/9/2025;26/9/2025;26/9/2025;ZONA 9;ELOY ALFARO - DMQ;BARRIO NUEVO;BARRIO NUEVO 3;17;PICHINCHA;1701;QUITO;604800;-0,28076;-78,539895;HOMBRE;ECUADOR;19;ADULTO;MESTIZO/A;2/10/2025;-0,324645;-78,550077;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
25/9/2025;30/9/2025;2/10/2025;ZONA 9;TUMBACO;CUMBAYÁ SUR;CUMBAYÁ SUR 1;17;PICHINCHA;1701;QUITO;1900800;-0,205478;-78,443864;MUJER;ECUADOR;15;ADOLESCENTES;MESTIZO/A;17/10/2025;-0,142229;-78,500091;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;RELACIÓN AFECTIVA;DESAPARICIÓN VOLUNTARIA
25/9/2025;2/12/2025;2/12/2025;ZONA 9;MANUELA SÁENZ;PANECILLO;PANECILLO 2;17;PICHINCHA;1701;QUITO;11232000;-0,225086;-78,521473;HOMBRE;ECUADOR;38;ADULTO;MESTIZO/A;2/2/2026;-0,29203;-78,482229;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
24/9/2025;24/2/2026;25/2/2026;ZONA 9;QUITUMBE;GUAMANÍ;GUAMANÍ 5;17;PICHINCHA;1701;QUITO;13910400;-0,339827;-78,565431;MUJER;VENEZUELA;19;ADULTO;MESTIZO/A;4/3/2026;-0,142144;-78,503152;PICHINCHA;ENCONTRADO;VIOLENCIA;VIOLENCIA PSICOLÓGICA;DESAPARICIÓN VOLUNTARIA
24/9/2025;25/9/2025;25/9/2025;ZONA 9;ELOY ALFARO - DMQ;MENA;MENA 1;17;PICHINCHA;1701;QUITO;86400;-0,250144;-78,548471;MUJER;ECUADOR;17;ADOLESCENTES;MESTIZO/A;25/9/2025;-0,215705;-78,521581;PICHINCHA;ENCONTRADO;CAUSAS FAMILIARES;NO RELACIONADOS A VIOLENCIA;DESAPARICIÓN VOLUNTARIA
24/9/2025;29/9/2025;10/10/2025;ZONA 9;CALDERÓN;CARAPUNGO;CARAPUNGO 3;17;PICHINCHA;1701;QUITO;13478400;-0,093477;-78,451508;MUJER;ECUADOR;17;ADOLESCENTES;MESTIZO/A;27/2/2026;-0,107104;-78,525053;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
23/9/2025;27/9/2025;27/9/2025;ZONA 9;EUGENIO ESPEJO;SAN ISIDRO DEL INCA;SAN ISIDRO DEL INCA 4;17;PICHINCHA;1701;QUITO;3801600;-0,157729;-78,449269;MUJER;ECUADOR;15;ADOLESCENTES;MESTIZO/A;6/11/2025;-4,178504;-79,558256;LOJA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
23/9/2025;21/1/2026;22/1/2026;ZONA 9;CALDERÓN;SAN JUAN DE CALDERÓN;SAN JUAN DE CALDERÓN 2;17;PICHINCHA;1701;QUITO;19353600;-0,088871;-78,428052;MUJER;ECUADOR;17;ADOLESCENTES;MESTIZO/A;5/5/2026;-0,091909;-78,429477;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
22/9/2025;23/9/2025;23/9/2025;ZONA 9;QUITUMBE;LAS CUADRAS;LAS CUADRAS 3;17;PICHINCHA;1701;QUITO;86400;-0,293623;-78,5573;HOMBRE;ECUADOR;32;ADULTO;BLANCO/A;23/9/2025;-0,293309;-78,547424;PICHINCHA;ENCONTRADO;CAUSAS FAMILIARES;NO RELACIONADOS A VIOLENCIA;DESAPARICIÓN VOLUNTARIA
21/9/2025;22/9/2025;22/9/2025;ZONA 9;ELOY ALFARO - DMQ;BARRIO NUEVO;BARRIO NUEVO 1;17;PICHINCHA;1701;QUITO;691200;-0,269464;-78,550937;MUJER;ECUADOR;17;ADOLESCENTES;MESTIZO/A;29/9/2025;-0,267672;-78,534745;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
